year,population_national,gdp_national(RM),gdp_national_per_capita(RM),Inflation(%),labour_force_national,employed_persons_national,unemployed_persons_national,outside_labour_force_national,unemployed_rate_national(%),participation_rate_national(%),income_mean_national(RM),income_median_national(RM),poverty_relative_national_median_income(%),gdp_national_growth_rate(%),gdp_national_per_capita_growth_rate(%),income_median_growth_rate(%),income_inequality(%),economic_stage
1980,13879300,162992754000.0,11743564000.0,0.07,0,0,0,0,0.0,0.0,762.0,487.0,0.0,0.07,0.05,0.14,0.36,Take-Off (Emerging Tiger Cub)
1981,14256900,174307881000.0,12226928000.0,0.1,0,0,0,0,0.0,0.0,846.0,545.0,0.0,0.07,0.04,0.12,0.36,Take-Off (Emerging Tiger Cub)
1982,14651100,184667264000.0,12604099000.0,0.06,5431400,5249000,182400,2944600,0.03,0.65,930.0,603.0,0.0,0.06,0.03,0.11,0.35,Take-Off (Emerging Tiger Cub)
1983,15048200,196213087000.0,13039860000.0,0.04,5671800,5457000,214900,2969400,0.04,0.66,1014.0,661.0,0.0,0.06,0.03,0.1,0.35,Take-Off (Emerging Tiger Cub)
1984,15450400,211442735000.0,13684346000.0,0.04,5862500,5566700,295800,3119600,0.05,0.65,1098.0,719.0,0.0,0.08,0.05,0.09,0.35,Take-Off (Emerging Tiger Cub)
1985,15882700,209274918000.0,13175348000.0,0.0,5990100,5653400,336800,3124900,0.06,0.66,1093.0,725.0,0.0,-0.01,-0.04,0.01,0.34,Drive to Maturity (Ascending Tiger)
1986,16329400,211871172000.0,12973946000.0,0.01,6222100,5760100,461900,3188300,0.07,0.66,1088.0,732.0,0.0,0.01,-0.02,0.01,0.33,Drive to Maturity (Ascending Tiger)
1987,16773500,222871380000.0,13286801000.0,0.0,6456800,5983900,472900,3246100,0.07,0.66,1083.0,738.0,0.0,0.05,0.02,0.01,0.32,Drive to Maturity (Ascending Tiger)
1988,17219100,245019713000.0,14229576000.0,0.03,6637000,6157200,479800,3301500,0.07,0.67,1126.0,777.0,0.0,0.1,0.07,0.05,0.31,Drive to Maturity (Ascending Tiger)
1989,17662100,267217521000.0,15128372000.0,0.03,6779400,6390900,388500,3463500,0.06,0.66,1169.0,816.0,0.0,0.09,0.06,0.05,0.3,Drive to Maturity (Ascending Tiger)
1990,18102400,291289883000.0,16090387000.0,0.03,7000200,6685000,315200,3519700,0.04,0.66,1301.0,903.0,0.0,0.09,0.06,0.11,0.31,Drive to Maturity (Ascending Tiger)
1991,18547200,319094864000.0,17203576000.0,0.04,7159600,6866400,293200,3651649,0.04,0.66,1434.0,990.0,0.0,0.1,0.07,0.1,0.31,Drive to Maturity (Ascending Tiger)
1992,19067500,347446820000.0,18223312000.0,0.05,7319000,7047800,271200,3783600,0.04,0.66,1566.0,1077.0,0.0,0.09,0.06,0.09,0.31,Drive to Maturity (Ascending Tiger)
1993,19601500,381826485000.0,19479429000.0,0.04,7700100,7383400,316800,3874900,0.04,0.66,1717.0,1177.0,0.0,0.1,0.07,0.09,0.31,Drive to Maturity (Ascending Tiger)
1994,20141700,417000501000.0,20702562000.0,0.04,7796600,7514200,282450,4086300,0.04,0.66,1869.0,1277.0,0.0,0.09,0.06,0.08,0.32,Drive to Maturity (Ascending Tiger)
1995,20681800,457987835000.0,22145584000.0,0.04,7893100,7645000,248100,4297700,0.03,0.65,2020.0,1377.0,0.2,0.1,0.07,0.08,0.32,High Mass‑Consumption (Nearly High-Income)
1996,21222600,503798988000.0,23737032000.0,0.04,8616000,8399300,216800,4379000,0.02,0.66,2313.0,1550.0,0.2,0.1,0.07,0.13,0.33,High Mass‑Consumption (Nearly High-Income)
1997,21769300,540690887000.0,24836478000.0,0.03,8784000,8569200,214900,4605100,0.02,0.66,2606.0,1724.0,0.2,0.07,0.05,0.11,0.34,High Mass‑Consumption (Nearly High-Income)
1998,22333500,500899200000.0,22428692000.0,0.05,8883600,8599600,284000,4934000,0.03,0.64,2539.0,1714.0,0.19,-0.07,-0.1,-0.01,0.32,High Mass‑Consumption (Nearly High-Income)
1999,22909500,531642449000.0,23206549000.0,0.03,9151500,8837800,313700,5098400,0.03,0.64,2472.0,1704.0,0.19,0.06,0.03,-0.01,0.31,High Mass‑Consumption (Nearly High-Income)
2000,23494900,578739953000.0,24632104000.0,0.02,9556100,9269200,286900,5065100,0.03,0.65,2652.0,1819.0,0.19,0.09,0.06,0.07,0.31,High Mass‑Consumption (Nearly High-Income)
2001,24030500,581735947000.0,24208280000.0,0.01,9699400,9357000,342400,5239900,0.04,0.65,2831.0,1934.0,0.2,0.01,-0.02,0.06,0.32,High Mass‑Consumption (Nearly High-Income)
2002,24542500,613097264000.0,24981230000.0,0.02,9886200,9542600,343500,5473800,0.04,0.64,3011.0,2049.0,0.2,0.05,0.03,0.06,0.32,High Mass‑Consumption (Nearly High-Income)
2003,25038100,648586394000.0,25903574000.0,0.01,10239600,9869700,369800,5458600,0.04,0.65,3130.0,2130.0,0.2,0.06,0.04,0.04,0.32,High Mass‑Consumption (Nearly High-Income)
2004,25541500,692582849000.0,27116586000.0,0.01,10346200,9979500,366600,5730500,0.04,0.64,3249.0,2211.0,0.2,0.07,0.05,0.04,0.32,High Mass‑Consumption (Nearly High-Income)
2005,26045500,729512330000.0,28008077000.0,0.03,10413400,10045400,368100,6048200,0.04,0.63,3395.0,2325.0,0.19,0.05,0.03,0.05,0.32,High Mass‑Consumption (Nearly High-Income)
2006,26549900,772180479000.0,29084686000.0,0.04,10628900,10275400,353600,6205100,0.03,0.63,3540.0,2438.0,0.18,0.06,0.04,0.05,0.31,High Mass‑Consumption (Nearly High-Income)
2007,27058400,822219260000.0,30387010000.0,0.02,10889500,10538100,351400,6330100,0.03,0.63,3686.0,2552.0,0.17,0.06,0.04,0.05,0.31,High Mass‑Consumption (Nearly High-Income)
2008,27567600,861746893000.0,31259015000.0,0.05,11028100,10659600,368500,6575700,0.03,0.63,3856.0,2696.0,0.18,0.05,0.03,0.06,0.3,High Mass‑Consumption (Nearly High-Income)
2009,28081500,847648672000.0,30185653000.0,0.01,11315300,10897300,418000,6665700,0.04,0.63,4025.0,2841.0,0.19,-0.02,-0.03,0.05,0.29,High Mass‑Consumption (Nearly High-Income)
2010,28588600,908628920000.0,31782997000.0,0.02,12303900,11899500,404400,7023000,0.03,0.64,4350.0,3103.0,0.19,0.07,0.05,0.09,0.29,High Mass‑Consumption (Nearly High-Income)
2011,29062000,956730943000.0,32920119000.0,0.03,12740700,12351500,389200,7023300,0.03,0.64,4675.0,3364.0,0.19,0.05,0.04,0.08,0.28,High Mass‑Consumption (Nearly High-Income)
2012,29510000,1009097173000.0,34195510000.0,0.02,13221700,12820500,401200,6927400,0.03,0.66,5000.0,3626.0,0.19,0.05,0.04,0.08,0.27,High Mass‑Consumption (Nearly High-Income)
2013,30213700,1056461394000.0,34966496000.0,0.02,13980500,13545400,435100,6781200,0.03,0.67,5570.0,4106.0,0.17,0.05,0.02,0.13,0.26,High Mass‑Consumption (Nearly High-Income)
2014,30708500,1119920092000.0,36469753000.0,0.03,14263600,13852600,411100,6821000,0.03,0.68,6141.0,4585.0,0.16,0.06,0.04,0.12,0.25,High Mass‑Consumption (Nearly High-Income)
2015,31186100,1176941000000.0,37739000000.0,0.02,14518000,14067700,450300,6869900,0.03,0.68,6550.0,4906.0,0.16,0.05,0.03,0.07,0.25,High Mass‑Consumption (Nearly High-Income)
2016,31633500,1229312000000.0,38861000000.0,0.02,14667800,14163700,504100,6987600,0.03,0.68,6958.0,5228.0,0.16,0.04,0.03,0.07,0.25,High Mass‑Consumption (Nearly High-Income)
2017,32022600,1300769000000.0,40620000000.0,0.04,14980100,14476800,503300,7065000,0.03,0.68,7272.0,5443.0,0.16,0.06,0.05,0.04,0.25,High Mass‑Consumption (Nearly High-Income)
2018,32382300,1363766000000.0,42115000000.0,0.01,15280300,14776000,504300,7094400,0.03,0.68,7587.0,5658.0,0.17,0.05,0.04,0.04,0.25,High Mass‑Consumption (Nearly High-Income)
2019,32523000,1423952000000.0,43783000000.0,0.01,15581600,15073400,508200,7103500,0.03,0.69,7901.0,5873.0,0.17,0.04,0.04,0.04,0.26,High Mass‑Consumption (Nearly High-Income)
2020,32447400,1346249000000.0,41490000000.0,-0.01,15406000,14719400,686600,7105200,0.04,0.68,7089.0,5209.0,0.16,-0.05,-0.05,-0.11,0.27,High Mass‑Consumption (Nearly High-Income)
2021,32576300,1390882000000.0,42696149000.0,0.02,15532800,14825200,707600,7102300,0.05,0.69,7784.0,5774.0,0.16,0.03,0.03,0.11,0.26,High Mass‑Consumption (Nearly High-Income)
2022,32698100,1514139000000.0,46306600000.0,0.03,15769700,15155200,614500,7000700,0.04,0.69,8479.0,6338.0,0.17,0.09,0.08,0.1,0.25,High Mass‑Consumption (Nearly High-Income)
2023,33401800,1567974000000.0,46942732000.0,0.02,16028158,15402855,625302,7102102,0.04,0.69,8637.0,6457.0,0.17,0.04,0.01,0.02,0.25,High Mass‑Consumption (Nearly High-Income)
2024,34052100,1648163000000.0,48391738000.0,0.02,16286615,15650510,636105,7203505,0.04,0.7,8795.0,6575.0,0.17,0.05,0.03,0.02,0.25,High Mass‑Consumption (Nearly High-Income)
2025,34231700,1677319542926.0,49162448148.0,0.02,16545072,15898165,646908,7304908,0.04,0.7,8953.0,6694.0,0.17,0.02,0.02,0.02,0.25,High Mass‑Consumption (Nearly High-Income)
2026,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,6615.0,0.16,0.0,0.0,0.0,0.0,
2027,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,6749.0,0.16,0.0,0.0,0.0,0.0,
2028,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,6882.0,0.16,0.0,0.0,0.0,0.0,
